t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm
4.840000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.563229378e+01,6.280708237e-01,0.000000000e+00,0.000000000e+00,-7.781561799e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.887372177e-06,0.000000000e+00,-4.887371929e-06,2.480147376e-13,1.000000000e+00
4.850000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.565771895e+01,6.341387357e-01,0.000000000e+00,0.000000000e+00,-7.732192858e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.903283253e-06,0.000000000e+00,-4.903283003e-06,2.496313364e-13,1.000000000e+00
4.860000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.568122481e+01,6.401772410e-01,0.000000000e+00,0.000000000e+00,-7.682272451e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.918016233e-06,0.000000000e+00,-4.918015982e-06,2.511324295e-13,1.000000000e+00
4.870000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.570280273e+01,6.461850518e-01,0.000000000e+00,0.000000000e+00,-7.631807642e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.931560269e-06,0.000000000e+00,-4.931560016e-06,2.525158198e-13,1.000000000e+00
4.880000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.572244471e+01,6.521608951e-01,0.000000000e+00,0.000000000e+00,-7.580805807e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.943905355e-06,0.000000000e+00,-4.943905101e-06,2.537794820e-13,1.000000000e+00
4.890000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.574014350e+01,6.581035144e-01,0.000000000e+00,0.000000000e+00,-7.529274628e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.955042349e-06,0.000000000e+00,-4.955042094e-06,2.549215476e-13,1.000000000e+00
4.900000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.575589252e+01,6.640116699e-01,0.000000000e+00,0.000000000e+00,-7.477222093e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.964962984e-06,0.000000000e+00,-4.964962728e-06,2.559403232e-13,1.000000000e+00
4.910000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.576968592e+01,6.698841398e-01,0.000000000e+00,0.000000000e+00,-7.424656486e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.973659880e-06,0.000000000e+00,-4.973659623e-06,2.568342962e-13,1.000000000e+00
4.920000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.578151855e+01,6.757197210e-01,0.000000000e+00,0.000000000e+00,-7.371586387e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.981126555e-06,0.000000000e+00,-4.981126297e-06,2.576021358e-13,1.000000000e+00
4.930000000e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.579138600e+01,6.815172302e-01,0.000000000e+00,0.000000000e+00,-7.318020668e-01,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.987357434e-06,0.000000000e+00,-4.987357176e-06,2.582426926e-13,1.000000000e+00
